sampleplotid,x,y,measurementdate,g,d,h,v,v.ma,v.ku,v.lp,myear,filename.1,a.date.1,a.window.1,filename.2,a.date.2,a.window.2,v.lp.proc
901034,313598.5,6888193.46,2013,30,25.9,23.9,336.62,50.11,27.73,258.78,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4121B3.laz,2013-07-11,C,NA,NA,NA,77
901038,314591.78,6888461.84,2013,18.6,16,15.9,146,142.5,0,3.5,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4121D1.laz,2013-07-11,C,NA,NA,NA,2
901044,317890.37,6888182.49,2013,26.8,18.4,18.4,240.46,139.89,81.77,18.79,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4121D3.laz,2013-07-11,C,NA,NA,NA,8
901048,318879.42,6888447.55,2013,34.3,20.2,19.3,321.29,72.1,172.35,76.84,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4121D3.laz,2013-07-11,C,NA,NA,NA,24
901054,322193.41,6888196.04,2013,13.8,10,9.1,67.1,57.4,9.7,0,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4121F1.laz,2013-07-11,C,NA,NA,NA,0
901057,322929.47,6888466.7,2013,29.7,29.2,24,326.04,300.78,0,25.26,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4121F1.laz,2013-07-11,C,NA,NA,NA,8
901066,326996.14,6888429.45,2013,26.1,16.9,15.8,207.45,0,200.43,7.01,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4121H1.laz,2013-07-12,C,NA,NA,NA,3
901067,327215.39,6888447.33,2013,35.1,19.9,18.8,324.3,2.29,301.45,20.56,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4121H1.laz,2013-07-12,C,NA,NA,NA,6
901074,330787.4,6888202.92,2013,16.2,23.5,22.4,178.53,0,178.3,0.23,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4121H3.laz,2013-07-12,C,NA,NA,NA,0
902021,309301.4,6891742.58,2013,21.1,18.5,17.3,177.61,177.33,0,0.28,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4121B2.laz,2013-07-11,C,NA,NA,NA,0
902022,309288.49,6892001.77,2013,6,10.4,10.1,31.48,0.19,14.78,16.51,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4121B2.laz,2013-07-11,C,NA,NA,NA,52
902025,309546.85,6892748.96,2013,16,19.6,17.7,132.7,51.29,0.56,80.84,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4121B2.laz,2013-07-11,C,NA,NA,NA,61
